"No.","Time","Source","Destination","Protocol","Length","Info"
"10576","62.617285","66.96.224.77","192.168.100.5","QUIC","68","Protected Payload (KP0)"
"10577","62.666484","66.96.224.77","192.168.100.5","QUIC","1284","Protected Payload (KP0)"
"10578","62.666484","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10579","62.666926","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10580","62.666926","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10581","62.666926","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10582","62.667432","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10583","62.667432","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10584","62.667432","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10585","62.667432","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10586","62.668048","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10587","62.668048","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10588","62.668048","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10589","62.668048","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10590","62.668048","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10591","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10592","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10593","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10594","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10595","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10596","62.668758","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10597","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10598","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10599","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10600","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10601","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10602","62.669446","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10603","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10604","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10605","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10606","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10607","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10608","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10609","62.670235","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10610","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10611","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10612","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10613","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10614","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10615","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10616","62.671008","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10617","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10618","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10619","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10620","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10621","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10622","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10623","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10624","62.671885","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10625","62.672729","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10626","62.672729","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10627","62.672729","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10628","62.672729","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
